,Survived,Age,Fare,FamilyCount,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton
577,1,39.0,55.9,1,1,0,0,1,0,0,0,1
579,1,32.0,7.925,0,0,0,1,0,1,0,0,1
580,1,25.0,30.0,2,0,1,0,1,0,0,0,1
581,1,39.0,110.8833,2,1,0,0,1,0,1,0,0
582,0,54.0,26.0,0,0,1,0,0,1,0,0,1
583,0,36.0,40.125,0,1,0,0,0,1,1,0,0
585,1,18.0,79.65,2,1,0,0,1,0,0,0,1
586,0,47.0,15.0,0,0,1,0,0,1,0,0,1
587,1,60.0,79.2,2,1,0,0,0,1,1,0,0
588,0,22.0,8.05,0,0,0,1,0,1,0,0,1
590,0,35.0,7.125,0,0,0,1,0,1,0,0,1
591,1,52.0,78.2667,1,1,0,0,1,0,1,0,0
592,0,47.0,7.25,0,0,0,1,0,1,0,0,1
594,0,37.0,26.0,1,0,1,0,0,1,0,0,1
595,0,36.0,24.15,2,0,0,1,0,1,0,0,1
597,0,49.0,0.0,0,0,0,1,0,1,0,0,1
599,1,49.0,56.9292,1,1,0,0,0,1,1,0,0
600,1,24.0,27.0,3,0,1,0,1,0,0,0,1
603,0,44.0,8.05,0,0,0,1,0,1,0,0,1
604,1,35.0,26.55,0,1,0,0,0,1,1,0,0
605,0,36.0,15.55,1,0,0,1,0,1,0,0,1
606,0,30.0,7.8958,0,0,0,1,0,1,0,0,1
607,1,27.0,30.5,0,1,0,0,0,1,0,0,1
608,1,22.0,41.5792,3,0,1,0,1,0,1,0,0
609,1,40.0,153.4625,0,1,0,0,1,0,0,0,1
610,0,39.0,31.275,6,0,0,1,1,0,0,0,1
614,0,35.0,8.05,0,0,0,1,0,1,0,0,1
615,1,24.0,65.0,3,0,1,0,1,0,0,0,1
616,0,34.0,14.4,2,0,0,1,0,1,0,0,1
617,0,26.0,16.1,1,0,0,1,1,0,0,0,1
618,1,4.0,39.0,3,0,1,0,1,0,0,0,1
619,0,26.0,10.5,0,0,1,0,0,1,0,0,1
620,0,27.0,14.4542,1,0,0,1,0,1,1,0,0
621,1,42.0,52.5542,1,1,0,0,0,1,0,0,1
622,1,20.0,15.7417,2,0,0,1,0,1,1,0,0
623,0,21.0,7.8542,0,0,0,1,0,1,0,0,1
624,0,21.0,16.1,0,0,0,1,0,1,0,0,1
625,0,61.0,32.3208,0,1,0,0,0,1,0,0,1
626,0,57.0,12.35,0,0,1,0,0,1,0,1,0
627,1,21.0,77.9583,0,1,0,0,1,0,0,0,1
628,0,26.0,7.8958,0,0,0,1,0,1,0,0,1
630,1,80.0,30.0,0,1,0,0,0,1,0,0,1
631,0,51.0,7.0542,0,0,0,1,0,1,0,0,1
632,1,32.0,30.5,0,1,0,0,0,1,1,0,0
634,0,9.0,27.9,5,0,0,1,1,0,0,0,1
635,1,28.0,13.0,0,0,1,0,1,0,0,0,1
636,0,32.0,7.925,0,0,0,1,0,1,0,0,1
637,0,31.0,26.25,2,0,1,0,0,1,0,0,1
638,0,41.0,39.6875,5,0,0,1,1,0,0,0,1
640,0,20.0,7.8542,0,0,0,1,0,1,0,0,1
641,1,24.0,69.3,0,1,0,0,1,0,1,0,0
642,0,2.0,27.9,5,0,0,1,1,0,0,0,1
644,1,0.75,19.2583,3,0,0,1,1,0,1,0,0
645,1,48.0,76.7292,1,1,0,0,0,1,1,0,0
646,0,19.0,7.8958,0,0,0,1,0,1,0,0,1
647,1,56.0,35.5,0,1,0,0,0,1,1,0,0
649,1,23.0,7.55,0,0,0,1,1,0,0,0,1
651,1,18.0,23.0,1,0,1,0,1,0,0,0,1
652,0,21.0,8.4333,0,0,0,1,0,1,0,0,1
654,0,18.0,6.75,0,0,0,1,1,0,0,1,0
655,0,24.0,73.5,2,0,1,0,0,1,0,0,1
657,0,32.0,15.5,2,0,0,1,1,0,0,1,0
658,0,23.0,13.0,0,0,1,0,0,1,0,0,1
659,0,58.0,113.275,2,1,0,0,0,1,1,0,0
660,1,50.0,133.65,2,1,0,0,0,1,0,0,1
661,0,40.0,7.225,0,0,0,1,0,1,1,0,0
662,0,47.0,25.5875,0,1,0,0,0,1,0,0,1
663,0,36.0,7.4958,0,0,0,1,0,1,0,0,1
664,1,20.0,7.925,1,0,0,1,0,1,0,0,1
665,0,32.0,73.5,2,0,1,0,0,1,0,0,1
666,0,25.0,13.0,0,0,1,0,0,1,0,0,1
668,0,43.0,8.05,0,0,0,1,0,1,0,0,1
670,1,40.0,39.0,2,0,1,0,1,0,0,0,1
671,0,31.0,52.0,1,1,0,0,0,1,0,0,1
672,0,70.0,10.5,0,0,1,0,0,1,0,0,1
673,1,31.0,13.0,0,0,1,0,0,1,0,0,1
675,0,18.0,7.775,0,0,0,1,0,1,0,0,1
676,0,24.5,8.05,0,0,0,1,0,1,0,0,1
677,1,18.0,9.8417,0,0,0,1,1,0,0,0,1
678,0,43.0,46.9,7,0,0,1,1,0,0,0,1
679,1,36.0,512.3292,1,1,0,0,0,1,1,0,0
681,1,27.0,76.7292,0,1,0,0,0,1,1,0,0
682,0,20.0,9.225,0,0,0,1,0,1,0,0,1
683,0,14.0,46.9,7,0,0,1,0,1,0,0,1
684,0,60.0,39.0,2,0,1,0,0,1,0,0,1
685,0,25.0,41.5792,3,0,1,0,0,1,1,0,0
686,0,14.0,39.6875,5,0,0,1,0,1,0,0,1
687,0,19.0,10.1708,0,0,0,1,0,1,0,0,1
688,0,18.0,7.7958,0,0,0,1,0,1,0,0,1
689,1,15.0,211.3375,1,1,0,0,1,0,0,0,1
690,1,31.0,57.0,1,1,0,0,0,1,0,0,1
691,1,4.0,13.4167,1,0,0,1,1,0,1,0,0
693,0,25.0,7.225,0,0,0,1,0,1,1,0,0
694,0,60.0,26.55,0,1,0,0,0,1,0,0,1
695,0,52.0,13.5,0,0,1,0,0,1,0,0,1
696,0,44.0,8.05,0,0,0,1,0,1,0,0,1
698,0,49.0,110.8833,2,1,0,0,0,1,1,0,0
699,0,42.0,7.65,0,0,0,1,0,1,0,0,1
700,1,18.0,227.525,1,1,0,0,1,0,1,0,0
701,1,35.0,26.2875,0,1,0,0,0,1,0,0,1
702,0,18.0,14.4542,1,0,0,1,1,0,1,0,0
703,0,25.0,7.7417,0,0,0,1,0,1,0,1,0
704,0,26.0,7.8542,1,0,0,1,0,1,0,0,1
705,0,39.0,26.0,0,0,1,0,0,1,0,0,1
706,1,45.0,13.5,0,0,1,0,1,0,0,0,1
707,1,42.0,26.2875,0,1,0,0,0,1,0,0,1
708,1,22.0,151.55,0,1,0,0,1,0,0,0,1
710,1,24.0,49.5042,0,1,0,0,1,0,1,0,0
712,1,48.0,52.0,1,1,0,0,0,1,0,0,1
713,0,29.0,9.4833,0,0,0,1,0,1,0,0,1
714,0,52.0,13.0,0,0,1,0,0,1,0,0,1
715,0,19.0,7.65,0,0,0,1,0,1,0,0,1
716,1,38.0,227.525,0,1,0,0,1,0,1,0,0
717,1,27.0,10.5,0,0,1,0,1,0,0,0,1
719,0,33.0,7.775,0,0,0,1,0,1,0,0,1
720,1,6.0,33.0,1,0,1,0,1,0,0,0,1
721,0,17.0,7.0542,1,0,0,1,0,1,0,0,1
722,0,34.0,13.0,0,0,1,0,0,1,0,0,1
723,0,50.0,13.0,0,0,1,0,0,1,0,0,1
724,1,27.0,53.1,1,1,0,0,0,1,0,0,1
725,0,20.0,8.6625,0,0,0,1,0,1,0,0,1
726,1,30.0,21.0,3,0,1,0,1,0,0,0,1
728,0,25.0,26.0,1,0,1,0,0,1,0,0,1
729,0,25.0,7.925,1,0,0,1,1,0,0,0,1
730,1,29.0,211.3375,0,1,0,0,1,0,0,0,1
731,0,11.0,18.7875,0,0,0,1,0,1,1,0,0
733,0,23.0,13.0,0,0,1,0,0,1,0,0,1
734,0,23.0,13.0,0,0,1,0,0,1,0,0,1
735,0,28.5,16.1,0,0,0,1,0,1,0,0,1
736,0,48.0,34.375,4,0,0,1,1,0,0,0,1
737,1,35.0,512.3292,0,1,0,0,0,1,1,0,0
741,0,36.0,78.85,1,1,0,0,0,1,0,0,1
742,1,21.0,262.375,4,1,0,0,1,0,1,0,0
743,0,24.0,16.1,1,0,0,1,0,1,0,0,1
744,1,31.0,7.925,0,0,0,1,0,1,0,0,1
745,0,70.0,71.0,2,1,0,0,0,1,0,0,1
746,0,16.0,20.25,2,0,0,1,0,1,0,0,1
747,1,30.0,13.0,0,0,1,0,1,0,0,0,1
748,0,19.0,53.1,1,1,0,0,0,1,0,0,1
749,0,31.0,7.75,0,0,0,1,0,1,0,1,0
750,1,4.0,23.0,2,0,1,0,1,0,0,0,1
751,1,6.0,12.475,1,0,0,1,0,1,0,0,1
752,0,33.0,9.5,0,0,0,1,0,1,0,0,1
753,0,23.0,7.8958,0,0,0,1,0,1,0,0,1
754,1,48.0,65.0,3,0,1,0,1,0,0,0,1
755,1,0.67,14.5,2,0,1,0,0,1,0,0,1
756,0,28.0,7.7958,0,0,0,1,0,1,0,0,1
757,0,18.0,11.5,0,0,1,0,0,1,0,0,1
758,0,34.0,8.05,0,0,0,1,0,1,0,0,1
759,1,33.0,86.5,0,1,0,0,1,0,0,0,1
761,0,41.0,7.125,0,0,0,1,0,1,0,0,1
762,1,20.0,7.2292,0,0,0,1,0,1,1,0,0
763,1,36.0,120.0,3,1,0,0,1,0,0,0,1
764,0,16.0,7.775,0,0,0,1,0,1,0,0,1
765,1,51.0,77.9583,1,1,0,0,1,0,0,0,1
767,0,30.5,7.75,0,0,0,1,1,0,0,1,0
769,0,32.0,8.3625,0,0,0,1,0,1,0,0,1
770,0,24.0,9.5,0,0,0,1,0,1,0,0,1
771,0,48.0,7.8542,0,0,0,1,0,1,0,0,1
772,0,57.0,10.5,0,0,1,0,1,0,0,0,1
774,1,54.0,23.0,4,0,1,0,1,0,0,0,1
775,0,18.0,7.75,0,0,0,1,0,1,0,0,1
777,1,5.0,12.475,0,0,0,1,1,0,0,0,1
779,1,43.0,211.3375,1,1,0,0,1,0,0,0,1
780,1,13.0,7.2292,0,0,0,1,1,0,1,0,0
781,1,17.0,57.0,1,1,0,0,1,0,0,0,1
782,0,29.0,30.0,0,1,0,0,0,1,0,0,1
784,0,25.0,7.05,0,0,0,1,0,1,0,0,1
785,0,25.0,7.25,0,0,0,1,0,1,0,0,1
786,1,18.0,7.4958,0,0,0,1,1,0,0,0,1
787,0,8.0,29.125,5,0,0,1,0,1,0,1,0
788,1,1.0,20.575,3,0,0,1,0,1,0,0,1
789,0,46.0,79.2,0,1,0,0,0,1,1,0,0
791,0,16.0,26.0,0,0,1,0,0,1,0,0,1
794,0,25.0,7.8958,0,0,0,1,0,1,0,0,1
795,0,39.0,13.0,0,0,1,0,0,1,0,0,1
796,1,49.0,25.9292,0,1,0,0,1,0,0,0,1
797,1,31.0,8.6833,0,0,0,1,1,0,0,0,1
798,0,30.0,7.2292,0,0,0,1,0,1,1,0,0
799,0,30.0,24.15,2,0,0,1,1,0,0,0,1
800,0,34.0,13.0,0,0,1,0,0,1,0,0,1
801,1,31.0,26.25,2,0,1,0,1,0,0,0,1
802,1,11.0,120.0,3,1,0,0,0,1,0,0,1
803,1,0.42,8.5167,1,0,0,1,0,1,1,0,0
804,1,27.0,6.975,0,0,0,1,0,1,0,0,1
805,0,31.0,7.775,0,0,0,1,0,1,0,0,1
806,0,39.0,0.0,0,1,0,0,0,1,0,0,1
807,0,18.0,7.775,0,0,0,1,1,0,0,0,1
808,0,39.0,13.0,0,0,1,0,0,1,0,0,1
809,1,33.0,53.1,1,1,0,0,1,0,0,0,1
810,0,26.0,7.8875,0,0,0,1,0,1,0,0,1
811,0,39.0,24.15,0,0,0,1,0,1,0,0,1
812,0,35.0,10.5,0,0,1,0,0,1,0,0,1
813,0,6.0,31.275,6,0,0,1,1,0,0,0,1
814,0,30.5,8.05,0,0,0,1,0,1,0,0,1
816,0,23.0,7.925,0,0,0,1,1,0,0,0,1
817,0,31.0,37.0042,2,0,1,0,0,1,1,0,0
818,0,43.0,6.45,0,0,0,1,0,1,0,0,1
819,0,10.0,27.9,5,0,0,1,0,1,0,0,1
820,1,52.0,93.5,2,1,0,0,1,0,0,0,1
821,1,27.0,8.6625,0,0,0,1,0,1,0,0,1
822,0,38.0,0.0,0,1,0,0,0,1,0,0,1
823,1,27.0,12.475,1,0,0,1,1,0,0,0,1
824,0,2.0,39.6875,5,0,0,1,0,1,0,0,1
827,1,1.0,37.0042,2,0,1,0,0,1,1,0,0
830,1,15.0,14.4542,1,0,0,1,1,0,1,0,0
831,1,0.83,18.75,2,0,1,0,0,1,0,0,1
833,0,23.0,7.8542,0,0,0,1,0,1,0,0,1
834,0,18.0,8.3,0,0,0,1,0,1,0,0,1
835,1,39.0,83.1583,2,1,0,0,1,0,1,0,0
836,0,21.0,8.6625,0,0,0,1,0,1,0,0,1
838,1,32.0,56.4958,0,0,0,1,0,1,0,0,1
840,0,20.0,7.925,0,0,0,1,0,1,0,0,1
841,0,16.0,10.5,0,0,1,0,0,1,0,0,1
842,1,30.0,31.0,0,1,0,0,1,0,1,0,0
843,0,34.5,6.4375,0,0,0,1,0,1,1,0,0
844,0,17.0,8.6625,0,0,0,1,0,1,0,0,1
845,0,42.0,7.55,0,0,0,1,0,1,0,0,1
847,0,35.0,7.8958,0,0,0,1,0,1,1,0,0
848,0,28.0,33.0,1,0,1,0,0,1,0,0,1
850,0,4.0,31.275,6,0,0,1,0,1,0,0,1
851,0,74.0,7.775,0,0,0,1,0,1,0,0,1
852,0,9.0,15.2458,2,0,0,1,1,0,1,0,0
853,1,16.0,39.4,1,1,0,0,1,0,0,0,1
854,0,44.0,26.0,1,0,1,0,1,0,0,0,1
855,1,18.0,9.35,1,0,0,1,1,0,0,0,1
856,1,45.0,164.8667,2,1,0,0,1,0,0,0,1
857,1,51.0,26.55,0,1,0,0,0,1,0,0,1
858,1,24.0,19.2583,3,0,0,1,1,0,1,0,0
860,0,41.0,14.1083,2,0,0,1,0,1,0,0,1
861,0,21.0,11.5,1,0,1,0,0,1,0,0,1
862,1,48.0,25.9292,0,1,0,0,1,0,0,0,1
864,0,24.0,13.0,0,0,1,0,0,1,0,0,1
865,1,42.0,13.0,0,0,1,0,1,0,0,0,1
866,1,27.0,13.8583,1,0,1,0,1,0,1,0,0
867,0,31.0,50.4958,0,1,0,0,0,1,0,0,1
869,1,4.0,11.1333,2,0,0,1,0,1,0,0,1
870,0,26.0,7.8958,0,0,0,1,0,1,0,0,1
871,1,47.0,52.5542,2,1,0,0,1,0,0,0,1
872,0,33.0,5.0,0,1,0,0,0,1,0,0,1
873,0,47.0,9.0,0,0,0,1,0,1,0,0,1
874,1,28.0,24.0,1,0,1,0,1,0,1,0,0
875,1,15.0,7.225,0,0,0,1,1,0,1,0,0
876,0,20.0,9.8458,0,0,0,1,0,1,0,0,1
877,0,19.0,7.8958,0,0,0,1,0,1,0,0,1
879,1,56.0,83.1583,1,1,0,0,1,0,1,0,0
880,1,25.0,26.0,1,0,1,0,1,0,0,0,1
881,0,33.0,7.8958,0,0,0,1,0,1,0,0,1
882,0,22.0,10.5167,0,0,0,1,1,0,0,0,1
883,0,28.0,10.5,0,0,1,0,0,1,0,0,1
884,0,25.0,7.05,0,0,0,1,0,1,0,0,1
885,0,39.0,29.125,5,0,0,1,1,0,0,1,0
886,0,27.0,13.0,0,0,1,0,0,1,0,0,1
887,1,19.0,30.0,0,1,0,0,1,0,0,0,1
889,1,26.0,30.0,0,1,0,0,0,1,1,0,0
890,0,32.0,7.75,0,0,0,1,0,1,0,1,0
